Children,Income,Amount
1,71700,683.0
1,71800,684.0
1,71900,685.0
1,72000,686.0
1,72100,687.0
1,72200,688.0
1,72300,689.0
1,72400,690.0
1,72500,691.0
1,72600,692.0
1,72700,693.0
1,72800,694.0
1,72900,695.0
1,73000,696.0
1,73100,697.0
1,73200,698.0
1,73300,699.0
1,73400,700.0
1,73500,701.0
1,73600,702.0
1,73700,703.0
1,73800,704.0
1,73900,705.0
1,74000,706.0
1,74100,707.0
1,74200,708.0
1,74300,709.0
1,74400,710.0
1,74500,711.0
1,74600,712.0
1,74700,713.0
1,74800,714.0
1,74900,715.0
1,75000,716.0
1,75100,717.0
1,75200,718.0
1,75300,719.0
1,75400,720.0
1,75500,721.0
1,75600,722.0
1,75700,723.0
1,75800,724.0
1,75900,725.0
1,76000,726.0
1,76100,727.0
1,76200,728.0
1,76300,729.0
1,76400,730.0
1,76500,731.0
1,76600,732.0
1,76700,733.0
1,76800,734.0
1,76900,735.0
1,77000,736.0
1,77100,737.0
1,77200,738.0
1,77300,739.0
1,77400,740.0
1,77500,741.0
1,77600,742.0
1,77700,743.0
1,77800,744.0
1,77900,745.0
1,78000,746.0
1,78100,747.0
1,78200,748.0
1,78300,749.0
1,78400,750.0
1,78500,751.0
1,78600,752.0
1,78700,753.0
1,78800,754.0
1,78900,755.0
1,79000,755.0
1,79100,756.0
1,79200,757.0
1,79300,758.0
1,79400,759.0
1,79500,760.0
1,79600,761.0
1,79700,762.0
1,79800,763.0
1,79900,764.0
1,80000,765.0
1,80100,766.0
1,80200,767.0
1,80300,768.0
1,80400,769.0
1,80500,770.0
1,80600,771.0
1,80700,772.0
1,80800,772.0
1,80900,773.0
1,81000,774.0
1,81100,775.0
1,81200,776.0
1,81300,777.0
1,81400,778.0
1,81500,779.0
1,81600,780.0
1,81700,781.0
1,81800,782.0
1,81900,783.0
1,82000,784.0
1,82100,785.0
1,82200,786.0
1,82300,787.0
1,82400,788.0
1,82500,789.0
1,82600,789.0
1,82700,790.0
1,82800,791.0
1,82900,792.0
1,83000,793.0
1,83100,794.0
1,83200,795.0
1,83300,796.0
1,83400,797.0
1,83500,798.0
1,83600,799.0
1,83700,800.0
1,83800,801.0
1,83900,802.0
1,84000,803.0
1,84100,804.0
1,84200,805.0
1,84300,806.0
1,84400,807.0
1,84500,808.0
1,84600,809.0
1,84700,810.0
1,84800,811.0
1,84900,812.0
1,85000,813.0
1,85100,814.0
1,85200,815.0
1,85300,816.0
1,85400,817.0
1,85500,818.0
1,85600,819.0
1,85700,820.0
1,85800,821.0
1,85900,821.0
1,86000,822.0
1,86100,823.0
1,86200,824.0
1,86300,825.0
1,86400,826.0
1,86500,827.0
1,86600,828.0
1,86700,829.0
1,86800,830.0
1,86900,831.0
1,87000,832.0
1,87100,833.0
1,87200,834.0
1,87300,835.0
1,87400,836.0
1,87500,837.0
1,87600,838.0
1,87700,838.0
1,87800,839.0
1,87900,840.0
1,88000,841.0
1,88100,842.0
1,88200,843.0
1,88300,844.0
1,88400,845.0
1,88500,846.0
1,88600,847.0
1,88700,848.0
1,88800,849.0
1,88900,850.0
1,89000,851.0
1,89100,852.0
1,89200,853.0
1,89300,854.0
1,89400,855.0
1,89500,856.0
1,89600,857.0
1,89700,858.0
1,89800,859.0
1,89900,859.0
1,90000,860.0
1,90100,861.0
1,90200,862.0
1,90300,863.0
1,90400,864.0
1,90500,865.0
1,90600,865.0
1,90700,866.0
1,90800,867.0
1,90900,868.0
1,91000,869.0
1,91100,870.0
1,91200,871.0
1,91300,872.0
1,91400,873.0
1,91500,874.0
1,91600,874.0
1,91700,875.0
1,91800,876.0
1,91900,877.0
1,92000,878.0
1,92100,879.0
1,92200,880.0
1,92300,881.0
1,92400,881.0
1,92500,882.0
1,92600,883.0
1,92700,884.0
1,92800,885.0
1,92900,886.0
1,93000,886.0
1,93100,887.0
1,93200,888.0
1,93300,889.0
1,93400,890.0
1,93500,890.0
1,93600,891.0
1,93700,892.0
1,93800,893.0
1,93900,894.0
1,94000,895.0
1,94100,896.0
1,94200,897.0
1,94300,898.0
1,94400,898.0
1,94500,899.0
1,94600,900.0
1,94700,901.0
1,94800,902.0
1,94900,903.0
1,95000,903.0
1,95100,904.0
1,95200,905.0
1,95300,906.0
1,95400,907.0
1,95500,907.0
1,95600,908.0
1,95700,909.0
1,95800,910.0
1,95900,911.0
1,96000,912.0
1,96100,913.0
1,96200,914.0
1,96300,914.0
1,96400,915.0
1,96500,916.0
1,96600,917.0
1,96700,918.0
1,96800,919.0
1,96900,919.0
1,97000,920.0
1,97100,921.0
1,97200,922.0
1,97300,923.0
1,97400,923.0
1,97500,924.0
1,97600,925.0
1,97700,926.0
1,97800,927.0
1,97900,928.0
1,98000,929.0
1,98100,930.0
1,98200,931.0
1,98300,932.0
1,98400,933.0
1,98500,934.0
1,98600,934.0
1,98700,935.0
1,98800,936.0
1,98900,937.0
1,99000,938.0
1,99100,939.0
1,99200,940.0
1,99300,941.0
1,99400,941.0
1,99500,942.0
1,99600,943.0
1,99700,944.0
1,99800,945.0
1,99900,946.0
1,100000,946.0
1,100100,947.0
1,100200,948.0
1,100300,949.0
1,100400,950.0
1,100500,950.0
1,100600,951.0
1,100700,952.0
1,100800,953.0
1,100900,954.0
1,101000,955.0
1,101100,956.0
1,101200,957.0
1,101300,958.0
1,101400,958.0
1,101500,959.0
1,101600,960.0
1,101700,961.0
